0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.7348083,1,-0.9382329,0.8905764,-25.15752,0.70262134,-96.719696,0.31600147,-0.14325464,0.41825235,-12.620757,-5.0954986,0.66039383,0.4514885,-0.38657236,1,0.8968261,0.6547455,1,0.6710113,0.5024953,1,0.90312064,0.9999961,
0.7347902,1,-0.9290614,0.8908715,-25.428343,0.703217,-96.89385,0.31486315,-0.13661766,0.4185605,-12.57128,-5.1003876,0.6608856,0.45152247,-0.3892665,1,0.8969784,0.65442216,1,0.6707114,0.5029801,1,0.90337116,0.9999961,
0.7342762,1,-0.92613065,0.8908356,-25.62445,0.70293355,-96.80663,0.31590438,-0.13831174,0.41868544,-12.594035,-5.0920424,0.66113263,0.45142907,-0.38151324,1,0.89748544,0.65413725,1,0.67113686,0.50247866,1,0.9030336,0.99999666,
0.7340718,1,-0.92157805,0.8909886,-25.836313,0.7030558,-97.113556,0.31650245,-0.13486934,0.4189011,-12.59286,-5.0941434,0.6616926,0.45153576,-0.3797828,1,0.8974553,0.65400016,1,0.6706699,0.5019189,1,0.90290296,0.9999962,
0.7341565,1,-0.92585063,0.89105326,-26.005972,0.70364034,-97.087715,0.31707174,-0.13423681,0.41915137,-12.605573,-5.084041,0.6616951,0.4512549,-0.3653053,1,0.89835453,0.65372455,1,0.66993856,0.50242543,1,0.90261185,0.9999965,
0.7343501,1,-0.90684056,0.8916613,-26.322248,0.70380336,-97.39911,0.31778026,-0.12865436,0.4191695,-12.54703,-5.0876946,0.6603414,0.45132357,-0.37083495,1,0.8977871,0.6538587,1,0.6691945,0.5025296,1,0.9030398,0.9999968,
0.7342533,1,-0.9024739,0.892025,-26.595272,0.70513403,-97.31575,0.31907994,-0.12751782,0.41940343,-12.533709,-5.0835376,0.6601606,0.45103526,-0.35878634,1,0.89879394,0.65356594,1,0.6692941,0.5030943,1,0.9028487,0.9999973,
0.73406017,1,-0.9137578,0.8920669,-26.740988,0.7053286,-97.312355,0.3222028,-0.12407291,0.41948837,-12.5245695,-5.066777,0.6605127,0.4508695,-0.3488363,1,0.89931023,0.6534008,1,0.66931057,0.504066,1,0.9027612,0.99999714,
0.7342495,1,-0.89233625,0.89211625,-26.97594,0.7076592,-97.683014,0.32207942,-0.121165276,0.41978735,-12.535351,-5.0644917,0.66093814,0.4505679,-0.33264804,1,0.900527,0.65316236,1,0.66753983,0.5044627,1,0.90235126,0.9999971,
0.73406845,1,-0.8879951,0.89236647,-27.202667,0.7081249,-97.87224,0.32132065,-0.118608356,0.42012632,-12.518642,-5.062085,0.6612452,0.45065033,-0.3255713,1,0.90127563,0.652852,1,0.66700506,0.50426716,1,0.90230155,0.9999971,
