0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.99997485,0.9956767,0.9566846,1,0.9933216,0.9931728,0.9827075,0.992989,0.9722436,0.9993947,0.98116297,0.99699444,1,1,0.9959255,0.9953594,0.99515116,0.99985933,0.99989754,0.9963262,0.9966344,0.99705374,1,1,
0.9999741,0.99566877,0.95680815,1,0.9932891,0.9931397,0.9826596,0.99297285,0.97233355,0.9994022,0.98124886,0.99702203,1,1,0.9959093,0.9953535,0.9951352,0.99987197,0.99991673,0.9963563,0.99660254,0.997075,1,1,
0.99997485,0.9957009,0.956497,1,0.9933002,0.99310565,0.98257285,0.9929514,0.9721813,0.9994014,0.9811621,0.9970147,1,1,0.99591506,0.9953476,0.99513775,0.99987495,0.9999168,0.9963385,0.9966058,0.9970455,1,1,
0.99997574,0.9957283,0.9563724,1,0.993314,0.9931266,0.9825539,0.9929522,0.97210336,0.9994036,0.98110473,0.9970023,1,1,0.99591327,0.9953543,0.9951393,0.9998849,0.99992305,0.9963178,0.9965964,0.99707615,1,1,
0.99997544,0.99567986,0.9563665,1,0.99330586,0.99308985,0.98250806,0.9929199,0.97210246,0.99939936,0.9810902,0.9969986,1,1,0.9959183,0.99536574,0.9951711,0.9998865,0.99992543,0.99632186,0.9965957,0.9970313,1,1,
0.9999753,0.99564964,0.9564658,1,0.99331397,0.9931306,0.9825592,0.99294287,0.9721613,0.9993895,0.98111975,0.9969984,1,1,0.9959361,0.99539024,0.9951851,0.9998916,0.9999277,0.99627197,0.9965986,0.99706703,1,1,
0.9999752,0.99562764,0.95661646,1,0.99331886,0.993146,0.9826195,0.9929698,0.972253,0.9993939,0.9811758,0.9970095,1,1,0.99597526,0.9954356,0.995237,0.99989325,0.99992967,0.9963007,0.99661946,0.997061,1,1,
0.9999756,0.9956996,0.95645654,1,0.9933212,0.99312824,0.9825445,0.9929581,0.9722059,0.999394,0.98118,0.9970327,1,1,0.99596894,0.99542147,0.9952124,0.9999012,0.99993736,0.996305,0.99659246,0.99707973,1,1,
0.9999756,0.9957024,0.95646346,1,0.993306,0.993097,0.98250407,0.99293226,0.9721957,0.9994078,0.9811712,0.9970326,1,1,0.99596095,0.9954178,0.99522036,0.9999045,0.99994206,0.99631953,0.99659544,0.997059,1,1,
0.999977,0.9957532,0.9565878,1,0.9933481,0.99315447,0.98261034,0.99298793,0.9722815,0.99940985,0.9812195,0.99704844,1,1,0.99601674,0.99547493,0.9952908,0.9999084,0.9999401,0.99632293,0.99664,0.99706227,1,1,
