0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
0.99576205,0.9731941,0.9994003,1,0.9972777,0.99168795,1,0.931447,0.9579522,0.13769513,0.9557695,0.9294634,0.8678855,0.9941831,0.9874776,0.78429824,0.9339606,0.99980676,0.93896866,0.99994326,0.9908773,0.56455123,0.7224111,0.99983364,1,0.96119756,0.97091603,1,0.9881952,0.9783244,0.58831686,0.9769639,0.99980277,1,
0.9957629,0.97333145,0.9994036,1,0.9972926,0.9917008,1,0.93152374,0.9578481,0.13603878,0.9556552,0.929328,0.867529,0.99416476,0.98753506,0.7859364,0.93425894,0.9998052,0.93982816,0.9999443,0.9908499,0.56827617,0.7239135,0.99983203,1,0.9617906,0.9711961,1,0.98820424,0.9782305,0.5898993,0.9768527,0.9998018,1,
0.9958397,0.9731161,0.9994007,1,0.997353,0.9916488,1,0.9315988,0.95807743,0.13788784,0.95573413,0.92887086,0.8681811,0.99417865,0.98721856,0.7832348,0.93392605,0.99982774,0.93902874,0.9999437,0.99090827,0.5700499,0.72382605,0.999843,1,0.9610942,0.97122777,1,0.9883846,0.9780791,0.5849162,0.9770156,0.9998081,1,
0.9958229,0.97311944,0.9994035,1,0.9973784,0.99166256,1,0.9317055,0.9580917,0.13654882,0.9557462,0.9287517,0.8682558,0.9942405,0.98707736,0.7833562,0.93389446,0.99982965,0.9395444,0.9999451,0.9909287,0.5765477,0.72615683,0.99984515,1,0.96133953,0.971644,1,0.98841685,0.97807837,0.58145875,0.97692394,0.99980927,1,
0.99585086,0.9731445,0.9994058,1,0.99741024,0.9916803,1,0.93192434,0.95810103,0.13717455,0.9557745,0.9289444,0.86839336,0.9941897,0.9871878,0.7834867,0.93416554,0.9998339,0.9395885,0.99994624,0.9908883,0.5757878,0.72655094,0.9998379,1,0.9616382,0.97178113,1,0.98840386,0.9781062,0.5821444,0.97690016,0.9998182,1,
0.99580914,0.9734638,0.99940467,1,0.9973643,0.99171567,1,0.93171537,0.9580273,0.1343438,0.9556302,0.928987,0.8680396,0.9941938,0.98693395,0.7850936,0.93430954,0.99983513,0.9404284,0.9999461,0.99088436,0.58203274,0.7293005,0.99983984,1,0.9623243,0.97234106,1,0.98837966,0.977964,0.58530486,0.9767784,0.99981266,1,
0.99575645,0.97351503,0.99940413,1,0.997318,0.9917182,1,0.9319312,0.9581086,0.13584358,0.9557326,0.9289661,0.8682256,0.99425995,0.98716897,0.7850823,0.93419445,0.99981713,0.94032604,0.999944,0.99088687,0.583238,0.7301381,0.9998382,1,0.96235955,0.97237647,1,0.9883134,0.97802347,0.58441556,0.9767291,0.9998067,1,
0.9958123,0.9734613,0.99940586,1,0.99732465,0.9916622,1,0.93181247,0.95815104,0.13642108,0.955738,0.9290604,0.8683526,0.99400187,0.9867631,0.78363836,0.9342004,0.99981886,0.9396975,0.99994427,0.9908827,0.58086103,0.7278658,0.9998409,1,0.96200544,0.9721211,1,0.9883428,0.9780223,0.5842651,0.97682965,0.99981,1,
0.995824,0.9734393,0.9994089,1,0.99736947,0.99162763,1,0.93220955,0.9582908,0.13989776,0.95581394,0.92934453,0.86865085,0.99402386,0.9870389,0.78328466,0.93402416,0.9998204,0.93893826,0.9999443,0.990866,0.5730947,0.727185,0.9998374,1,0.9615964,0.97204584,1,0.9883612,0.9780464,0.5854212,0.9768715,0.99981123,1,
0.9959266,0.9736551,0.99940705,1,0.99742997,0.99160415,1,0.93148744,0.95821476,0.14735734,0.95571685,0.9286018,0.8683928,0.99399513,0.9869057,0.78604746,0.9348749,0.9998465,0.9400006,0.99994755,0.9908077,0.57150996,0.7245867,0.99984264,1,0.96239936,0.9717831,1,0.9883688,0.9778833,0.59416866,0.97689027,0.99982184,1,
0.9957721,0.97369266,0.99940556,1,0.9973473,0.9916377,1,0.93205535,0.95786685,0.13605678,0.95534116,0.92836183,0.86739016,0.99399996,0.9870119,0.7861598,0.93440163,0.99981445,0.9405522,0.99994373,0.99059767,0.5814632,0.72836006,0.99983543,1,0.962865,0.97149456,1,0.9882404,0.9777132,0.589168,0.9766172,0.9998019,1,
0.99577755,0.973806,0.99940246,1,0.9972846,0.991686,1,0.93241274,0.95791346,0.14037216,0.9556072,0.9291837,0.86750805,0.9940224,0.98679596,0.7838136,0.9341718,0.9998099,0.94035655,0.9999425,0.9905638,0.58434665,0.7300159,0.999829,1,0.9630834,0.97164565,1,0.9878927,0.97767967,0.5827451,0.9765201,0.9997964,1,
0.9958224,0.97367656,0.9994052,1,0.9973446,0.9917024,1,0.9329029,0.9578466,0.13433653,0.9554595,0.9293878,0.8672634,0.9940254,0.98688114,0.78420305,0.9340989,0.99981254,0.9409292,0.9999409,0.9905622,0.587082,0.7329209,0.9998349,1,0.963315,0.9719425,1,0.98799497,0.9775177,0.58064914,0.9764983,0.9997961,1,
0.99570805,0.9731234,0.99939877,1,0.9972569,0.99173975,1,0.9336998,0.9570955,0.11509067,0.9546945,0.9267685,0.8654052,0.9940882,0.9869266,0.7832883,0.9333426,0.99983186,0.940277,0.999942,0.9905154,0.58091396,0.7361263,0.9998407,1,0.9630823,0.97216654,1,0.9881621,0.97741514,0.5810338,0.97630215,0.9998022,1,
0.9957571,0.9729027,0.99940413,1,0.99734133,0.99167037,1,0.9332237,0.9570937,0.11288476,0.9545943,0.927268,0.8650011,0.99406886,0.9870564,0.7819992,0.9329691,0.99985355,0.93951756,0.999943,0.9905061,0.57435167,0.7345146,0.999837,1,0.9624613,0.97209704,1,0.9883256,0.9775069,0.5790762,0.97634727,0.99981546,1,
