0,1,2,3,4,5,6,7,8,9,10
0.000598468,0.002866317,0.001100838,0.00058068,0.001164832,0.000104177,0.001113519,0.000487669,0.000105279,0.000849357,0.001340405
0.000608771,0.002837288,0.001092349,0.000580893,0.00119195,0.000104627,0.001119676,0.000489096,0.000105594,0.000851063,0.001307791
0.00060634,0.002801236,0.001087973,0.000578071,0.001179312,0.000104462,0.001123249,0.000488532,0.000104874,0.000849545,0.001283327
0.000609073,0.002881737,0.001100514,0.000574885,0.00116787,0.000104217,0.001122184,0.000482197,0.000103923,0.000848262,0.001262288
0.000608864,0.002837812,0.001092086,0.000570993,0.001159878,0.000103582,0.001121337,0.000480389,0.00010314,0.000848744,0.001218725
0.000614755,0.002785032,0.001102368,0.000569937,0.001210621,0.000103649,0.001140145,0.000488405,0.000102421,0.000844538,0.001187402
0.000614448,0.002768131,0.001088851,0.000567235,0.001191159,0.000102594,0.001141413,0.000478358,0.000101963,0.0008429,0.001165933
0.00062449,0.00272414,0.001095583,0.000568518,0.001209449,0.000103423,0.001152071,0.000486166,0.000102116,0.000841163,0.00115328
0.000577557,0.003463669,0.001111632,0.000566777,0.001200105,0.000105038,0.001134965,0.00049649,0.00010415,0.000864632,0.001637054
0.000615739,0.003462593,0.001116703,0.000564282,0.001209136,0.000109106,0.001132357,0.000512544,0.000105666,0.000874163,0.001630549
0.000598656,0.003381924,0.001094599,0.000559731,0.001213857,0.000108431,0.001127649,0.000496199,9.68E-05,0.000845877,0.001580457
0.00060364,0.003354031,0.001101539,0.000553123,0.001204694,0.00010799,0.001131102,0.000498604,9.64E-05,0.000848327,0.001569046
0.000594843,0.003255936,0.001065272,0.000542776,0.001139644,0.000102003,0.001086901,0.000489898,9.58E-05,0.00085055,0.001562709
0.000598149,0.003212727,0.001087135,0.000570668,0.001127739,0.000103409,0.001076097,0.000501661,0.00010888,0.000886809,0.00173253
0.000594506,0.003161094,0.001080185,0.00056993,0.001139655,0.0001046,0.001072903,0.000494415,0.000108507,0.000889435,0.001727149
0.000600882,0.003599423,0.001089627,0.000563759,0.001161555,0.00010361,0.001091435,0.000514518,0.00010713,0.000878753,0.001681708
0.00057398,0.003557972,0.001091362,0.000544018,0.001141479,0.00010283,0.001060808,0.000503922,0.000106979,0.000872741,0.001698136
0.00057507,0.003535372,0.001098241,0.000547778,0.001142365,0.000102914,0.001108318,0.000515837,0.000107218,0.000874032,0.001860715
0.000573333,0.003428988,0.001075322,0.000551208,0.001177214,0.000107768,0.001110561,0.000517872,0.000107397,0.000873752,0.001831748
0.000573684,0.003312279,0.001047462,0.000551075,0.001153996,0.00010599,0.001106737,0.000515762,0.000106804,0.000873381,0.00179196
0.000562213,0.003326095,0.001042041,0.000549848,0.001106469,0.000104831,0.001098275,0.000517542,0.000107496,0.000880688,0.001770325
0.000590127,0.003315632,0.001051924,0.000501219,0.001073979,0.000104839,0.001155142,0.000503408,0.000103259,0.000825857,0.001731495
0.000595561,0.003899977,0.001098779,0.000499776,0.00110805,0.000108973,0.001192704,0.000524455,0.000104459,0.000836641,0.001786872
0.000626929,0.004101918,0.001112692,0.000513519,0.001133559,0.000121775,0.001426996,0.000528357,0.000104897,0.000939944,0.001818047
0.000625894,0.003855137,0.001106537,0.000510504,0.001133195,0.000119161,0.001407014,0.000526045,0.000104832,0.000933851,0.0017954
0.000624795,0.003771011,0.001112018,0.00050355,0.001148443,0.000119085,0.001383252,0.000527374,0.000104868,0.000929955,0.001770027
0.000629761,0.003718519,0.001109981,0.000490467,0.001144494,0.000118836,0.001373553,0.000525331,0.000103879,0.000923176,0.001744632
0.000614747,0.003672367,0.001093518,0.000486266,0.001145399,0.000119344,0.001372082,0.000523572,0.00010247,0.000919108,0.00170224
0.00061611,0.003505019,0.001068903,0.000480373,0.00110809,0.000117173,0.001372984,0.000534846,0.000104395,0.000900347,0.001654005
0.000617263,0.003462931,0.001058977,0.000478923,0.001111729,0.000117123,0.001355658,0.000534043,0.000105164,0.000908925,0.001657047
0.000618971,0.003412551,0.001062012,0.000474503,0.001100939,0.000116111,0.001347645,0.000548749,0.000105472,0.000907916,0.001639701
0.000619081,0.003290463,0.001043159,0.000471742,0.001089258,0.000116968,0.001334629,0.000548957,0.000106576,0.000906521,0.001624363
0.000621338,0.003211686,0.001048273,0.000477197,0.001095717,0.000114349,0.001350331,0.000537368,0.000107567,0.000915792,0.00162523
0.000624103,0.003194107,0.001027385,0.000474992,0.001093484,0.000115668,0.00134221,0.000554986,0.000107719,0.000915144,0.001608932
0.000622422,0.003165983,0.001049756,0.000474895,0.001097539,0.000114566,0.001345749,0.000553081,0.000107878,0.00091525,0.001615746
0.000622585,0.003113135,0.001048976,0.000469596,0.001088828,0.000115139,0.001328637,0.000561671,0.000107948,0.000916182,0.001588728
0.000561831,0.003100735,0.001008711,0.00046739,0.001047092,0.000114458,0.001271846,0.000563096,0.00010733,0.000911671,0.001542002
0.000564062,0.003025366,0.000990865,0.000463226,0.001034099,0.000115689,0.001264476,0.000561882,0.000107089,0.000913363,0.001531589
0.000567022,0.00293613,0.000999208,0.000468466,0.001042302,0.000115608,0.001284875,0.000594301,0.000108195,0.00093481,0.001999468
0.000571517,0.002991198,0.001002811,0.000491205,0.00105816,0.000115841,0.001284576,0.000610972,0.000108896,0.000933823,0.00199532
